"For All Companies As of Sep 02, 2025 For All Alberta ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Facility ID,,Facility Subtype,,Surface Location,Location Latitude,Location Longitude,Facility Name,Field or Area,Operator Code,Operator Name,Licence Number,Licence Status,Licence Status Date,Licensee  BA Code,Licensee Name,Licence EDCT,Licence Issue Date,Most Recent Licence Amendment Date,Plant Processes,Raw Gas E3m3/d,Rec Sales Gas E3m3/d,C2 m3/d,C2 Mix m3/d,C3 m3/d,C4 m3/d,LPG Mix m3/d,C5+ m3/d,Sulphur Inlet t/d,Sulphur Recovered t/d,,Max Sulphur Emission Rate t/d,Qtrly Approved Sulphur Rec Eff %,First Volumetric Activity Date,Last Volumetric Activity Date
ABGP0001055,,Gas Plant Sweet,,02/10-30-052-17W5,53.521125,-116.491014,TOM BROWN EDSON,EDSON,0026,Ovintiv Canada ULC,F32515    ,Issued,29-Oct-04,A517,Long Run Exploration Ltd.,B030,29-Oct-04,26-Aug-06,,60,,,,,,,,0,,,,,,
ABGP0001056,,Gp Sulphur Rcvry,,/02-20-004-30W4,49.307438,-113.999528,SHELL WATERTON,WATERTON,A5C4,Cavvy Production Ltd.,F65       ,Amended,1-Dec-16,0T03,Shell Canada Limited,E600,6-Mar-01,1-Dec-16,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Superclaus Process","8,050.00",7275,939,0,450,297,0,630,1450,1431,,18.85,98.5,1-Jan-91,1-Jul-25
ABGP0001057,,Gas Plant Sweet,,/09-17-050-07W5,53.317936,-114.979861,PENN WEST PEMBINA,PEMBINA,A6JK,InPlay Oil Corp.,F11691    ,Amended,6-Sep-01,0BP8,Obsidian Energy Ltd.,B010,1-May-01,26-Aug-06,,"1,675.00",1600,0,0,0,0,167.3,0,0,0,,,,1-Jan-91,1-Jul-25
ABGP0001058,,Gp Acid Gas Flaring%,,00/08-09-064-19W5,54.5225,-116.8,TRILOGY KAYBOB,KAYBOB,0AW4,Paramount Resources Ltd.,F14191    ,Amended,14-Nov-24,0AW4,Paramount Resources Ltd.,D400,16-Jan-01,14-Nov-24,"Regenerative, Acid Gas Injection, Acid Gas Flaring","5,981.00",5755,0,1823,0,0,749,1275,49.9,,,0.02,95.9,1-Jan-91,1-Jul-25
ABGP0001059,,Gas Plant Sweet,,00/06-33-030-19W4,51.61193,-112.622421,DRUMHELLER  6-33-30-19W4,WAYNE-ROSEDALE,0HE9,Canadian Natural Resources Limited,F4098     ,Amended,17-Oct-07,0HE9,Canadian Natural Resources Limited,B010,1-Mar-01,17-Oct-07,,232,218,0,0,0,0,0,8,0,,,,,1-Jan-91,1-Jul-11
ABGP0001060,,Gp Sulphur Rcvry,,00/09-27-031-04W5,51.685831,-114.474279,SOLEX HARMATTAN-ELKTON,HARMATTAN-ELKTON,A0TK,AltaGas Ltd.,F4285     ,Amended,7-Sep-22,A0TK,AltaGas Ltd.,D400,1-May-01,7-Sep-22,"Regenerative, Acid Gas Injection, Acid Gas Flaring","13,897.60",11224,3922.2,0,2475.9,1376.7,1907.8,1751,49.99,,,0.04,95.9,1-Jan-91,1-Jul-25
ABGP0001061,,Gas Plant Sweet,,/01-24-041-03W5,,,* GULF GILBY,GILBY,A8HW,Gran Tierra Canada Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001062,,Gp Acid Gas Flaring%,,00/04-23-061-12W5,54.285034,-115.69849,Carson Creek GP 4-23-61-12W5,CARSON CREEK,A8CW,Conifer Energy Inc.,F13736    ,Amended,16-Sep-16,A8CW,Conifer Energy Inc.,C300,2-Mar-01,16-Sep-16,"Regenerative, Acid Gas Flaring",740,600,0,0,0,0,390.7,572.9,0.54,,,0.54,,1-Jan-91,1-Jul-25
ABGP0001063,,Gas Plant Sweet,,00/13-05-039-08W4,52.330994,-111.129415,APACHE CANADA PROVOST,PROVOST,A7WF,Battle River Energy Ltd.,F7013     ,Issued,29-Mar-01,A7WF,Battle River Energy Ltd.,B010,29-Mar-01,,,90,,,,,,,,,,,,,1-Jan-91,1-Jul-25
ABGP0001064,,Gp Acid Gas Flaring,,/07-27-040-03W5,,,* PETRO-CAN GILBY,GILBY,A68P,Canlin Resources Partnership,,,,,,,,,,,,,,,,,,,,,,,,
